,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1969.0,15.0,31.0,0.0,65.0
1,1961.0,4.0,39.0,1.0,69.0
2,1960.0,2.0,40.0,2.0,71.0
3,1958.0,3.0,42.0,3.0,74.0
4,1957.0,0.0,43.0,4.0,74.0
5,1957.0,0.0,43.0,5.0,74.0
6,1957.0,0.0,43.0,6.0,74.0
7,1957.0,0.0,43.0,7.0,74.0
8,1957.0,0.0,43.0,8.0,74.0
9,1957.0,0.0,43.0,9.0,74.0
10,1957.0,0.0,43.0,10.0,74.0
11,1957.0,0.0,43.0,11.0,74.0
12,1957.0,0.0,43.0,12.0,74.0
13,1957.0,0.0,43.0,13.0,74.0
14,1957.0,0.0,43.0,14.0,74.0
15,1957.0,0.0,43.0,15.0,74.0
16,1957.0,0.0,43.0,16.0,74.0
17,1957.0,0.0,43.0,17.0,74.0
18,1957.0,0.0,43.0,18.0,74.0
19,1957.0,0.0,43.0,19.0,74.0
20,1957.0,0.0,43.0,20.0,74.0
